freq_Hz,PSD_x,PSD_y,PSD_z
0.0,31.968279518338303,32.10193490823336,0.6236282997462618
0.048828125,106.58917904737842,106.73748973246737,2.431790666826156
0.09765625,92.28424369629589,92.39118598382241,3.5045626514063892
0.146484375,66.60092815548406,67.26510280166111,6.741279427462456
0.1953125,64.75335035971585,65.43868619890769,8.69814844437947
0.244140625,68.73208918375343,70.7184723178357,10.155230755990367
0.29296875,60.63612948594181,62.71281995286875,8.572329439601742
0.341796875,39.839411266901976,41.80391391137442,9.976465796694937
0.390625,43.29071710726254,46.18399760706703,13.049610910812982
0.439453125,38.132723370657054,41.17095389562122,11.10248314117191
0.48828125,34.0324688921006,37.23415513081343,8.706568245508281
0.537109375,28.007200727908607,30.930662719791744,14.292204577299529
0.5859375,46.51294117629601,52.73707063657008,11.308657319765066
0.634765625,48.326909073101895,56.013922126570044,11.17523269062473
0.68359375,50.94180567887557,60.38982985214454,10.363098207275627
0.732421875,33.89570315518789,40.9018083227644,15.09585132962393
0.78125,27.344376885818377,33.71343327890807,18.485417369198547
0.830078125,22.407499538510198,28.661009782250094,15.257789811034407
0.87890625,31.00620038589017,40.54186990471308,15.898768863238327
0.927734375,24.648704028284545,33.023763231686296,18.895092410734016
0.9765625,22.057008421050206,30.407017248345817,21.04470707087731
1.025390625,26.06025986508483,36.87090750709831,25.725610834906977
1.07421875,26.714668076891027,39.12248898474374,25.140884333116716
1.123046875,21.891965075308917,32.787413834038574,12.985339764625493
1.171875,19.16448894429093,29.53358787713032,37.98086078171643
1.220703125,15.97267530960338,25.28675978485174,57.38309140877944
1.26953125,14.156587180002374,23.169673450424263,219.70530382882367
1.318359375,14.908849577646478,25.16164968559651,445.4310835396875
1.3671875,16.119123608386825,28.09859522248543,150.7170357732591
1.416015625,13.467782680794373,23.959420847272398,18.80028140712707
1.46484375,9.665877616922462,17.7843980308395,13.530519156164775
1.513671875,6.434886063654813,12.168010589838936,22.414189029760877
1.5625,7.3151651527846075,14.387506279629328,34.99043066692671
1.611328125,7.8679632365932015,15.915886446812449,26.43294010362276
1.66015625,7.03015969148301,14.781787136416703,15.463249867699016
1.708984375,6.217768828512912,13.349389723722881,12.895381696904732
1.7578125,4.914015545884027,10.916741786535912,10.652656256073143
1.806640625,6.8391823519833945,15.662938444504826,7.214593910237554
1.85546875,5.632063152318612,13.215573773772338,6.259853588754938
1.904296875,5.775016197581939,14.055624189475623,5.785938173610114
1.953125,6.755584058838999,16.957148004624315,4.702098459944618
2.001953125,7.346923882289794,18.924770506921863,5.090813483173736
2.05078125,3.5124041880641035,9.296842069187687,6.111642004711863
2.099609375,3.1659712986825888,8.663814449485788,4.6932025363285454
2.1484375,2.398196543429382,6.752449505147583,3.800817266970506
2.197265625,2.247244696381065,6.53208538696128,4.3078893167502805
2.24609375,2.57597716729001,7.715648488073575,4.489578805140735
2.294921875,2.573249310642175,7.89373131777913,5.225482895567517
2.34375,1.9451894382127706,6.161420751656891,3.8552177091173747
2.392578125,1.610017638147626,5.259493455948966,4.97245489635108
2.44140625,1.5960427966029471,5.379286202282261,4.091828069550059
2.490234375,1.992659876668993,6.878504127969965,6.6581551612981125
2.5390625,1.582719318264454,5.587781806340842,9.62091182200112
2.587890625,1.5101249682813058,5.515156683914004,15.6242047563795
2.63671875,1.596038085269202,5.9816032698433155,14.256170985664752
2.685546875,1.655515091640699,6.379995353755156,5.7237114035641135
2.734375,1.2178444358072105,4.787285993533794,1.7868356743632003
2.783203125,0.7462908782909037,3.0163549898891153,1.0201467825750916
2.83203125,0.6225301493047216,2.5863696129309584,1.312179303345079
2.880859375,0.48227217775760434,2.056865820247258,2.2747088109234146
2.9296875,0.4628947784720677,2.0270489251876156,4.486775901741363
2.978515625,0.3353302205494515,1.5147608549731044,5.124207480075953
3.02734375,0.3963021700329905,1.83289310475392,4.3527745343044195
3.076171875,0.40571834015429037,1.9173751939878751,3.3844546490379583
3.125,0.35316072517646874,1.7133754616086871,1.6371428830487724
3.173828125,0.3734095992085174,1.858148290293496,1.687440277543251
3.22265625,0.3964016271469393,2.0206174080629475,1.2957728742329468
3.271484375,0.4085732842593919,2.1392000443937853,0.8801830939294348
3.3203125,0.4403240896695547,2.3506825781088194,0.9986723231731387
3.369140625,0.2197532662988053,1.1985426041663718,1.0251303428929512
3.41796875,0.14871429572438136,0.8327729883113006,0.607910447720145
3.466796875,0.13555848431793124,0.7772708747115321,0.6148324588037025
3.515625,0.15208777944458496,0.900701398481521,0.5742252393966042
3.564453125,0.25892442643047514,1.5573215025433411,0.7405464216136406
3.61328125,0.1567212405392681,0.9586253523826914,0.701816131949167
3.662109375,0.09261400868131599,0.5818030452824838,0.5356487635133368
3.7109375,0.09327712634571124,0.6016967717078692,0.8210638059445104
3.759765625,0.1223442660127167,0.8076415369474257,0.6932881797254529
3.80859375,0.1407379199805023,0.9467509905011446,0.817586363792229
3.857421875,0.136923232397512,0.940528602163805,0.9064595414417675
3.90625,0.08105067265555306,0.566793774806611,0.8241827816515512
3.955078125,0.08189147792536869,0.589217197036368,0.8336912974617522
4.00390625,0.09630018143681048,0.7064228373191942,0.3701133751136502
4.052734375,0.0922235357644936,0.6894209912608682,0.14208707564571732
4.1015625,0.05947250096004838,0.45346926644215974,0.20592810986179957
4.150390625,0.04091903688449952,0.31838367508021886,0.24555020357686258
4.19921875,0.0308919335792331,0.24549975748704214,0.2877310759178276
4.248046875,0.03326924693803529,0.2708287097783158,0.39277935543673625
4.296875,0.030752767410456,0.2542609589911041,0.3727386720327906
